Treatment,treat,Group,Aperture
exp1,100mM,H,3.348
exp1,100mM,H,1.551
exp1,100mM,H,2.884
exp1,100mM,H,0.843
exp1,100mM,H,2.823
exp1,100mM,H,1.413
exp1,100mM,H,3.957
exp1,100mM,H,3.961
exp1,100mM,H,0.838
exp1,100mM,H,1.555
exp1,100mM,H,1.387
exp1,100mM,H,1.54
exp1,100mM,H,3.023
exp1,100mM,H,0.464
exp1,100mM,H,1.645
exp1,100mM,H,1.534
exp1,100mM,H,2.828
exp1,100mM,H,2.214
exp1,100mM,H,2.413
exp1,100mM,H,1.672
exp1,100mM,H,0.801
exp1,100mM,H,1.742
exp1,100mM,H,2.261
exp1,100mM,H,2.773
exp1,50mM,G,2.391
exp1,50mM,G,2.399
exp1,50mM,G,2.87
exp1,50mM,G,2.682
exp1,50mM,G,3.345
exp1,50mM,G,1.123
exp1,50mM,G,1.95
exp1,50mM,G,2.655
exp1,50mM,G,4.001
exp1,50mM,G,3.156
exp1,50mM,G,4.711
exp1,50mM,G,2.589
exp1,50mM,G,1.681
exp1,50mM,G,0.52
exp1,50mM,G,2.881
exp1,50mM,G,2.06
exp1,50mM,G,1.777
exp1,50mM,G,3.573
exp1,50mM,G,3.375
exp1,50mM,G,3.997
exp1,50mM,G,3.333
exp1,50mM,G,3.052
exp1,50mM,G,3.88
exp1,50mM,G,2.247
exp1,50mM,G,2.577
exp1,50mM,G,5.621
exp1,50mM,G,2.175
exp1,50mM,G,2.804
exp1,50mM,G,2.753
exp1,50mM,G,2.796
exp1,50mM,G,2.983
exp1,50mM,G,2.562
exp1,50mM,G,2.426
exp1,50mM,G,2.146
exp1,50mM,G,2.4
exp1,50mM,G,2.996
exp1,50mM,G,2.665
exp1,50mM,G,1.826
exp1,50mM,G,2.799
exp1,50mM,G,2.977
exp1,50mM,G,3.291
exp1,50mM,G,3.43
exp1,50mM,G,3.382
exp1,50mM,G,1.777
exp1,50mM,G,3.313
exp1,50mM,G,1.617
exp1,50mM,G,3.417
exp1,50mM,G,2
exp1,50mM,G,1.315
exp1,50mM,G,1.886
exp1,50mM,G,0.933
exp1,50mM,G,0.804
exp1,50mM,G,3.417
exp1,50mM,G,0.961
exp1,50mM,G,1.966
exp1,50mM,G,1.652
exp1,50mM,G,5.024
exp1,50mM,G,2.051
exp1,50mM,G,1.555
exp1,50mM,G,2.685
exp1,50mM,G,3.366
exp1,50mM,G,2.36
exp1,50mM,G,2.135
exp1,50mM,G,2.576
exp1,50mM,G,2.665
exp1,50mM,G,2.197
exp1,50mM,G,1.566
exp1,50mM,G,2.402
exp1,50mM,G,0.721
exp1,50mM,G,1.665
exp1,50mM,G,2.096
exp1,50mM,G,1.792
exp1,50mM,G,2.132
exp1,50mM,G,0.444
exp1,50mM,G,2.264
exp1,50mM,G,4.477
exp1,50mM,G,2.424
exp1,50mM,G,3.009
exp1,50mM,G,1.479
exp1,50mM,G,2.399
exp1,50mM,G,2.747
exp1,50mM,G,1.515
exp1,50mM,G,2.483
exp1,50mM,G,3.625
exp1,50mM,G,3.825
exp1,50mM,G,2.336
exp1,50mM,G,1.826
exp1,50mM,G,2.165
exp1,50mM,G,1.998
exp1,50mM,G,2.476
exp1,50mM,G,1.669
exp1,50mM,G,3.575
exp1,50mM,G,3.57
exp1,50mM,G,2.421
exp1,50mM,G,1.602
exp1,50mM,G,1.432
exp1,50mM,G,3.139
exp1,50mM,G,1.829
exp1,50mM,G,3.052
exp1,50mM,G,0.921
exp1,50mM,G,2.639
exp1,50mM,G,4.201
exp1,50mM,G,2.347
exp1,50mM,G,2.062
exp1,50mM,G,1.691
exp1,50mM,G,2.5
exp1,50mM,G,2.133
exp1,50mM,G,2.468
exp1,50mM,G,2.782
exp1,50mM,G,3.105
exp1,50mM,G,1.796
exp1,50mM,G,4.677
exp1,50mM,G,2.457
exp1,50mM,G,1.405
exp1,50mM,G,5.309
exp1,50mM,G,1.913
exp1,50mM,G,3.487
exp1,50mM,G,2.624
exp1,50mM,G,0.694
exp1,50mM,G,0.858
exp1,50mM,G,1.575
exp1,50mM,G,2.132
exp1,50mM,G,1.002
exp1,50mM,G,3.575
exp1,30mM,F,1.601
exp1,30mM,F,2.553
exp1,30mM,F,4.503
exp1,30mM,F,3.794
exp1,30mM,F,2.624
exp1,30mM,F,4.469
exp1,30mM,F,1.94
exp1,30mM,F,3.536
exp1,30mM,F,2.085
exp1,30mM,F,2.267
exp1,30mM,F,4.898
exp1,30mM,F,3.512
exp1,30mM,F,2.997
exp1,30mM,F,1.959
exp1,30mM,F,4.924
exp1,30mM,F,1.519
exp1,30mM,F,2.893
exp1,30mM,F,5.753
exp1,30mM,F,3.178
exp1,30mM,F,2.958
exp1,30mM,F,2.043
exp1,30mM,F,2.247
exp1,30mM,F,2.247
exp1,30mM,F,4.078
exp1,30mM,F,1.559
exp1,30mM,F,6.065
exp1,30mM,F,3.731
exp1,30mM,F,2.045
exp1,30mM,F,4.687
exp1,30mM,F,4.489
exp1,30mM,F,3.47
exp1,30mM,F,2.236
exp1,30mM,F,1.534
exp1,30mM,F,1.96
exp1,30mM,F,2.892
exp1,30mM,F,5.323
exp1,30mM,F,3.536
exp1,30mM,F,4.231
exp1,30mM,F,3.706
exp1,30mM,F,2.628
exp1,30mM,F,2.459
exp1,30mM,F,2.337
exp1,30mM,F,1.708
exp1,30mM,F,3.517
exp1,30mM,F,2.707
exp1,30mM,F,2.486
exp1,30mM,F,3.545
exp1,30mM,F,2.175
exp1,30mM,F,2.029
exp1,30mM,F,4.418
exp1,30mM,F,4.837
exp1,30mM,F,3.041
exp1,30mM,F,3.587
exp1,30mM,F,1.528
exp1,30mM,F,2.029
exp1,30mM,F,1.196
exp1,30mM,F,3.267
exp1,30mM,F,3.347
exp1,30mM,F,2.117
exp1,30mM,F,2.247
exp1,30mM,F,3.905
exp1,30mM,F,5.596
exp1,30mM,F,4.156
exp1,30mM,F,2.952
exp1,30mM,F,2.701
exp1,30mM,F,4.305
exp1,30mM,F,5.55
exp1,30mM,F,2.014
exp1,30mM,F,4.978
exp1,30mM,F,3.876
exp1,30mM,F,4.66
exp1,30mM,F,3.497
exp1,30mM,F,2.759
exp1,30mM,F,2.136
exp1,30mM,F,5.804
exp1,30mM,F,1.737
exp1,30mM,F,3.376
exp1,30mM,F,4.181
exp1,30mM,F,1.818
exp1,30mM,F,2.383
exp1,30mM,F,3.815
exp1,30mM,F,2.741
exp1,30mM,F,4.246
exp1,30mM,F,2.357
exp1,30mM,F,2.169
exp1,30mM,F,4.367
exp1,30mM,F,1.559
exp1,30mM,F,3.078
exp1,30mM,F,1.897
exp1,30mM,F,2.003
exp1,30mM,F,6.253
exp1,30mM,F,5.364
exp1,30mM,F,2.956
exp1,30mM,F,4.37
exp1,30mM,F,5.304
exp1,30mM,F,2.662
exp1,30mM,F,5.462
exp1,30mM,F,5.087
exp1,30mM,F,1.968
exp1,30mM,F,4.337
exp1,30mM,F,1.332
exp1,30mM,F,1.732
exp1,30mM,F,1.8
exp1,30mM,F,2.701
exp1,30mM,F,3.88
exp1,30mM,F,4.55
exp1,30mM,F,3.041
exp1,30mM,F,2.345
exp1,30mM,F,2.624
exp1,30mM,F,3.252
exp1,30mM,F,4.975
exp1,30mM,F,2.145
exp1,30mM,F,4.158
exp1,30mM,F,2.543
exp1,30mM,F,2.617
exp1,30mM,F,1.601
exp1,30mM,F,5.701
exp1,30mM,F,6.355
exp1,30mM,F,2.719
exp1,30mM,F,4.246
exp1,30mM,F,3.474
exp1,30mM,F,5.942
exp1,30mM,F,5.469
exp1,30mM,F,5.622
exp1,30mM,F,5.084
exp1,30mM,F,4.584
exp1,30mM,F,1.948
exp1,30mM,F,1.967
exp1,30mM,F,5.198
exp1,30mM,F,4.382
exp1,30mM,F,2.22
exp1,30mM,F,2.9
exp1,30mM,F,1.273
exp1,30mM,F,5.654
exp1,30mM,F,2.119
exp1,30mM,F,2.402
exp1,30mM,F,4.693
exp1,30mM,F,4.425
exp1,30mM,F,4.114
exp1,30mM,F,2.512
exp1,1mM,E,6.483
exp1,1mM,E,1.865
exp1,1mM,E,3.58
exp1,1mM,E,2.457
exp1,1mM,E,5.958
exp1,1mM,E,5.078
exp1,1mM,E,3.908
exp1,1mM,E,4.913
exp1,1mM,E,3.497
exp1,1mM,E,6.118
exp1,1mM,E,4.441
exp1,1mM,E,3.853
exp1,1mM,E,3.856
exp1,1mM,E,3.326
exp1,1mM,E,4.293
exp1,1mM,E,3.041
exp1,1mM,E,6.009
exp1,1mM,E,5.827
exp1,1mM,E,4.444
exp1,1mM,E,5.73
exp1,1mM,E,4.632
exp1,1mM,E,5.351
exp1,1mM,E,3.843
exp1,1mM,E,7.308
exp1,1mM,E,7.361
exp1,1mM,E,6.8
exp1,1mM,E,6.667
exp1,1mM,E,2.698
exp1,1mM,E,4.619
exp1,1mM,E,5.975
exp1,1mM,E,5.515
exp1,1mM,E,3.843
exp1,1mM,E,2.956
exp1,1mM,E,7.092
exp1,1mM,E,5.024
exp1,1mM,E,4.195
exp1,1mM,E,5.462
